mpi_sparse,1,1374-by-1374,1374-by-1374,1,5.006382
mpi_sparse,1,1374-by-1374,1374-by-1374,2,2.347450
mpi_sparse,1,1374-by-1374,1374-by-1374,4,2.190508
mpi_sparse,1,1374-by-1374,1374-by-1374,8,2.429979
mpi_sparse,1,1374-by-1374,1374-by-1374,16,3.021727
mpi_sparse,1,3937-by-3937,3937-by-3937,1,42.297801
mpi_sparse,1,3937-by-3937,3937-by-3937,2,24.986698
mpi_sparse,1,3937-by-3937,3937-by-3937,4,23.107547
mpi_sparse,1,3937-by-3937,3937-by-3937,8,26.408108
mpi_sparse,1,3937-by-3937,3937-by-3937,16,34.635860
mpi_dense,1,1374-by-1374,1374-by-1374,1,84.576581
mpi_dense,1,1374-by-1374,1374-by-1374,2,42.976040
mpi_dense,1,1374-by-1374,1374-by-1374,4,21.444851
mpi_dense,1,1374-by-1374,1374-by-1374,8,10.933907
mpi_dense,1,1374-by-1374,1374-by-1374,16,6.058040
mpi_dense,1,3937-by-3937,3937-by-3937,1,1917.473077
mpi_dense,1,3937-by-3937,3937-by-3937,2,978.081464
mpi_dense,1,3937-by-3937,3937-by-3937,4,496.662292
mpi_dense,1,3937-by-3937,3937-by-3937,8,260.071721
mpi_dense,1,3937-by-3937,3937-by-3937,16,138.573967